tweet_screen_name,full_name,apellido,tweet_count
HernanUlloa,Hernán Stalin Ulloa Ordonez,Ulloa,1183
abenavidesgol1,Andrés Benavides,Benavides,1070
wgomezr,Walter Javier Gomez Ronquillo,Gomez,804
jimmyjairala,Jimmy Jairala,Jairala,662
LuisaMaldonadoM,Luisa Maldonado,Maldonado,574
LoroHomero,Jorge Yunda,Yunda,509
VickyDesintonio,Victoria Tatiana Desintonio Malave,Desintonio,477
CynthiaViteri6,Cynthia Viteri,Viteri,357
fcojimenez21,Francisco Jimenez Sanchez,Jimenez,335
mrivadeneirac,María Fernanda Rivadeneira Cuzco,Rivadeneira,289
