,benavides.json,desintonio.json,gomez.json,jairala.json,jimenez.json,maldonado.json,rivadeneira.json,ulloa.json,viteri.json,yunda.json
benavides.json,0.9999999999999999,0.0,0.0,0.01987568233705145,0.0,0.03956512571554402,0.0,0.0,0.01690025985250338,0.036641533508518905
desintonio.json,0.0,0.9999999999999999,0.37439429259036283,0.0,0.053964457662297335,0.17355068091337295,0.28629334288311076,0.17287599226087466,0.0,0.0
gomez.json,0.0,0.37439429259036283,1.0,0.01990522201747354,0.0,0.20330655994773217,0.03190969695387116,0.16266991494439545,0.0058698016773061695,0.01006768646852428
jairala.json,0.01987568233705145,0.0,0.01990522201747354,1.0000000000000002,0.3643271911635145,0.06743436280968555,0.0,0.018330464955381695,0.39613402982602447,0.026825787669472467
jimenez.json,0.0,0.053964457662297335,0.0,0.3643271911635145,1.0,0.10790719110246297,0.0,0.0,0.2434033979138531,0.02188068565032541
maldonado.json,0.03956512571554402,0.17355068091337295,0.20330655994773217,0.06743436280968555,0.10790719110246297,1.0,0.05222967849174384,0.02739846272195589,0.03721101428078631,0.1611902815165863
rivadeneira.json,0.0,0.28629334288311076,0.03190969695387116,0.0,0.0,0.05222967849174384,0.9999999999999999,0.025830424380348372,0.0,0.0
ulloa.json,0.0,0.17287599226087466,0.16266991494439545,0.018330464955381695,0.0,0.02739846272195589,0.025830424380348372,1.0,0.005007164509195062,0.00916150223236162
viteri.json,0.01690025985250338,0.0,0.0058698016773061695,0.39613402982602447,0.2434033979138531,0.03721101428078631,0.0,0.005007164509195062,1.0,0.01703870210422658
yunda.json,0.036641533508518905,0.0,0.01006768646852428,0.026825787669472467,0.02188068565032541,0.1611902815165863,0.0,0.00916150223236162,0.01703870210422658,1.0
